Description_Disticnt,Dec-10,Jan-11,Rate
WHITE HANGING HEART T-LIGHT HOLDER,3871,463,-88.03926634
WHITE METAL LANTERN,221,4,-98.19004525
CREAM CUPID HEARTS COAT HANGER,286,2,-99.3006993
KNITTED UNION FLAG HOT WATER BOTTLE,1264,10,-99.20886076
RED WOOLLY HOTTIE WHITE HEART.,1838,0,-100
SET 7 BABUSHKA NESTING BOXES,527,1,-99.81024668
GLASS STAR FROSTED T-LIGHT HOLDER,213,0,-100
HAND WARMER UNION JACK,963,0,-100
HAND WARMER RED POLKA DOT,120,0,-100
ASSORTED COLOUR BIRD ORNAMENT,2371,368,-84.47912273
POPPY'S PLAYHOUSE BEDROOM ,183,7,-96.17486339
POPPY'S PLAYHOUSE KITCHEN,192,6,-96.875
FELTCRAFT PRINCESS CHARLOTTE DOLL,209,14,-93.30143541
IVORY KNITTED MUG COSY ,164,1,-99.3902439
BOX OF 6 ASSORTED COLOUR TEASPOONS,50,4,-92
BOX OF VINTAGE JIGSAW BLOCKS ,91,1,-98.9010989
BOX OF VINTAGE ALPHABET BLOCKS,346,2,-99.42196532
HOME BUILDING BLOCK WORD,308,89,-71.1038961
LOVE BUILDING BLOCK WORD,142,48,-66.1971831
RECIPE BOX WITH METAL HEART,12,0,-100
DOORMAT NEW ENGLAND,148,69,-53.37837838
JAM MAKING SET WITH JARS,600,23,-96.16666667
RED COAT RACK PARIS FASHION,25,4,-84
YELLOW COAT RACK PARIS FASHION,32,2,-93.75
BLUE COAT RACK PARIS FASHION,52,5,-90.38461538
BATH BUILDING BLOCK WORD,77,1,-98.7012987
ALARM CLOCK BAKELIKE PINK,338,17,-94.9704142
ALARM CLOCK BAKELIKE RED ,496,56,-88.70967742
ALARM CLOCK BAKELIKE GREEN,483,35,-92.75362319
PANDA AND BUNNIES STICKER SHEET,46,6,-86.95652174
STARS GIFT TAPE ,314,65,-79.29936306
INFLATABLE POLITICAL GLOBE ,251,72,-71.31474104
VINTAGE HEADS AND TAILS CARD GAME ,1169,86,-92.64328486
SET/2 RED RETROSPOT TEA TOWELS ,129,1,-99.2248062
ROUND SNACK BOXES SET OF4 WOODLAND ,535,18,-96.63551402
SPACEBOY LUNCH BOX ,894,15,-98.32214765
LUNCH BOX I LOVE LONDON,1536,76,-95.05208333
CIRCUS PARADE LUNCH BOX ,99,0,-100
CHARLOTTE BAG DOLLY GIRL DESIGN,249,10,-95.98393574
RED TOADSTOOL LED NIGHT LIGHT,1821,64,-96.48544756
 SET 2 TEA TOWELS I LOVE LONDON ,310,8,-97.41935484
VINTAGE SEASIDE JIGSAW PUZZLES,40,1,-97.5
MINI JIGSAW CIRCUS PARADE ,199,4,-97.98994975
MINI JIGSAW SPACEBOY,386,0,-100
MINI PAINT SET VINTAGE ,2710,576,-78.74538745
POSTAGE,220,12,-94.54545455
PAPER CHAIN KIT 50'S CHRISTMAS ,2460,11,-99.55284553
EDWARDIAN PARASOL RED,148,9,-93.91891892
RETRO COFFEE MUGS ASSORTED,503,18,-96.42147117
SAVE THE PLANET MUG,322,12,-96.27329193
VINTAGE BILLBOARD DRINK ME MUG,246,8,-96.74796748
VINTAGE BILLBOARD LOVE/HATE MUG,346,1,-99.71098266
WOOD 2 DRAWER CABINET WHITE FINISH,338,11,-96.74556213
WOOD S/3 CABINET ANT WHITE FINISH,230,38,-83.47826087
WOODEN PICTURE FRAME WHITE FINISH,535,80,-85.04672897
WOODEN FRAME ANTIQUE WHITE ,769,84,-89.07672302
VICTORIAN SEWING BOX LARGE,277,14,-94.94584838
HOT WATER BOTTLE TEA AND SYMPATHY,1210,0,-100
RED HANGING HEART T-LIGHT HOLDER,732,57,-92.21311475
JUMBO BAG PINK POLKADOT,494,275,-44.33198381
JUMBO  BAG BAROQUE BLACK WHITE,917,298,-67.50272628
JUMBO BAG CHARLIE AND LOLA TOYS,82,43,-47.56097561
STRAWBERRY CHARLOTTE BAG,430,34,-92.09302326
RED 3 PIECE RETROSPOT CUTLERY SET,314,416,32.48407643
BLUE 3 PIECE POLKADOT CUTLERY SET,186,11,-94.08602151
SET/6 RED SPOTTY PAPER PLATES,583,96,-83.53344768
LUNCH BAG RED RETROSPOT,732,373,-49.04371585
STRAWBERRY LUNCH BOX WITH CUTLERY,181,17,-90.60773481
LUNCH BOX WITH CUTLERY RETROSPOT ,185,32,-82.7027027
PACK OF 72 RETROSPOT CAKE CASES,4106,102,-97.51583049
PACK OF 60 DINOSAUR CAKE CASES,738,75,-89.83739837
PACK OF 60 PINK PAISLEY CAKE CASES,1724,101,-94.14153132
60 TEATIME FAIRY CAKE CASES,1587,87,-94.51795841
TOMATO CHARLIE+LOLA COASTER SET,79,4,-94.93670886
CHARLIE & LOLA WASTEPAPER BIN FLORA,57,1,-98.24561404
RED CHARLIE+LOLA PERSONAL DOORSIGN,100,6,-94
JUMBO STORAGE BAG SUKI,585,124,-78.8034188
JUMBO BAG PINK VINTAGE PAISLEY,549,230,-58.10564663
JAM MAKING SET PRINTED,1661,95,-94.28055388
RETROSPOT TEA SET CERAMIC 11 PC ,48,8,-83.33333333
GIRLY PINK TOOL SET,5,0,-100
JUMBO SHOPPER VINTAGE RED PAISLEY,752,22,-97.07446809
AIRLINE LOUNGE-METAL SIGN,53,6,-88.67924528
WHITE SPOT RED CERAMIC DRAWER KNOB,369,16,-95.66395664
RED DRAWER KNOB ACRYLIC EDWARDIAN,410,0,-100
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,436,38,-91.28440367
PHOTO CLIP LINE,6,0,-100
FELT EGG COSY CHICKEN,50,26,-48
PIGGY BANK RETROSPOT ,209,3,-98.5645933
SKULL SHOULDER BAG,137,27,-80.2919708
YOU'RE CONFUSING ME METAL SIGN ,172,5,-97.09302326
COOK WITH WINE METAL SIGN ,608,87,-85.69078947
GIN + TONIC DIET METAL SIGN,368,112,-69.56521739
YELLOW BREAKFAST CUP AND SAUCER,6,0,-100
PINK BREAKFAST CUP AND SAUCER ,3,0,-100
