Product,United Kingdom,France,Australia,Netherlands,Germany,Norway,EIRE,Switzerland,Spain,Poland,Portugal,Italy,Belgium,Lithuania,Japan,Iceland,Channel Islands,Denmark,Cyprus,Sweden,Austria,Israel,Finland,Bahrain
WHITE HANGING HEART T-LIGHT HOLDER,4215,0,0,0,0,0,48,0,1,0,6,0,0,0,0,0,0,0,64,0,0,0,0,0
WHITE METAL LANTERN,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CREAM CUPID HEARTS COAT HANGER,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNITTED UNION FLAG HOT WATER BOTTLE,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED WOOLLY HOTTIE WHITE HEART.,1826,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SET 7 BABUSHKA NESTING BOXES,464,2,0,0,32,0,6,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
GLASS STAR FROSTED T-LIGHT HOLDER,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAND WARMER UNION JACK,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAND WARMER RED POLKA DOT,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSORTED COLOUR BIRD ORNAMENT,2571,120,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
POPPY'S PLAYHOUSE BEDROOM ,165,6,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
POPPY'S PLAYHOUSE KITCHEN,173,12,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FELTCRAFT PRINCESS CHARLOTTE DOLL,136,5,0,48,0,0,4,0,0,0,0,0,0,0,16,0,0,0,2,12,0,0,0,0
IVORY KNITTED MUG COSY ,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOX OF 6 ASSORTED COLOUR TEASPOONS,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
BOX OF VINTAGE JIGSAW BLOCKS ,63,0,0,0,0,0,6,0,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0
BOX OF VINTAGE ALPHABET BLOCKS,340,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HOME BUILDING BLOCK WORD,377,0,0,0,0,0,11,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LOVE BUILDING BLOCK WORD,181,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RECIPE BOX WITH METAL HEART,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOORMAT NEW ENGLAND,215,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAM MAKING SET WITH JARS,550,0,0,1,24,0,30,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0
RED COAT RACK PARIS FASHION,22,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YELLOW COAT RACK PARIS FASHION,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLUE COAT RACK PARIS FASHION,41,0,0,0,3,0,6,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
BATH BUILDING BLOCK WORD,75,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ALARM CLOCK BAKELIKE PINK,267,28,4,0,36,0,0,4,0,0,0,0,4,0,0,4,0,12,0,0,0,0,0,0
ALARM CLOCK BAKELIKE RED ,488,28,4,0,12,0,0,4,0,0,0,0,4,0,0,4,0,12,0,0,0,0,0,0
ALARM CLOCK BAKELIKE GREEN,476,16,4,0,0,0,0,4,2,0,0,0,4,0,0,4,0,12,0,0,0,0,0,0
PANDA AND BUNNIES STICKER SHEET,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STARS GIFT TAPE ,293,48,0,0,36,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFLATABLE POLITICAL GLOBE ,203,108,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VINTAGE HEADS AND TAILS CARD GAME ,1159,60,12,0,12,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
SET/2 RED RETROSPOT TEA TOWELS ,94,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUND SNACK BOXES SET OF4 WOODLAND ,133,66,0,192,114,0,0,30,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0
SPACEBOY LUNCH BOX ,697,24,0,128,36,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUNCH BOX I LOVE LONDON,1476,36,64,0,24,0,0,12,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0
CIRCUS PARADE LUNCH BOX ,49,25,0,0,12,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHARLOTTE BAG DOLLY GIRL DESIGN,99,50,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
RED TOADSTOOL LED NIGHT LIGHT,1213,192,0,288,108,0,0,24,0,0,0,0,0,0,0,12,0,0,0,48,0,0,0,0
 SET 2 TEA TOWELS I LOVE LONDON ,294,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VINTAGE SEASIDE JIGSAW PUZZLES,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI JIGSAW CIRCUS PARADE ,59,24,0,0,0,48,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI JIGSAW SPACEBOY,242,48,0,0,0,48,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINI PAINT SET VINTAGE ,2494,108,576,0,0,0,36,0,0,0,0,0,576,0,0,36,0,0,0,0,0,0,0,0
POSTAGE,1,59,0,2,109,0,0,2,5,0,14,5,0,0,0,0,0,8,0,5,3,0,6,0
PAPER CHAIN KIT 50'S CHRISTMAS ,2459,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDWARDIAN PARASOL RED,97,27,0,0,12,0,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
RETRO COFFEE MUGS ASSORTED,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAVE THE PLANET MUG,298,0,0,0,12,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VINTAGE BILLBOARD DRINK ME MUG,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VINTAGE BILLBOARD LOVE/HATE MUG,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOOD 2 DRAWER CABINET WHITE FINISH,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOOD S/3 CABINET ANT WHITE FINISH,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOODEN PICTURE FRAME WHITE FINISH,603,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOODEN FRAME ANTIQUE WHITE ,835,0,0,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
VICTORIAN SEWING BOX LARGE,273,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOT WATER BOTTLE TEA AND SYMPATHY,1170,4,0,0,0,16,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
RED HANGING HEART T-LIGHT HOLDER,705,0,0,0,0,12,24,0,0,32,0,0,0,0,0,0,0,0,16,0,0,0,0,0
JUMBO BAG PINK POLKADOT,739,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUMBO  BAG BAROQUE BLACK WHITE,1205,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUMBO BAG CHARLIE AND LOLA TOYS,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRAWBERRY CHARLOTTE BAG,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED 3 PIECE RETROSPOT CUTLERY SET,646,6,0,72,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
BLUE 3 PIECE POLKADOT CUTLERY SET,113,6,0,72,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
SET/6 RED SPOTTY PAPER PLATES,655,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUNCH BAG RED RETROSPOT,945,60,10,0,0,0,10,0,70,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0
STRAWBERRY LUNCH BOX WITH CUTLERY,150,42,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUNCH BOX WITH CUTLERY RETROSPOT ,97,48,0,60,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
PACK OF 72 RETROSPOT CAKE CASES,3320,72,0,240,72,48,72,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0
PACK OF 60 DINOSAUR CAKE CASES,693,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACK OF 60 PINK PAISLEY CAKE CASES,1177,24,0,0,24,48,24,0,0,0,0,24,0,0,0,0,0,0,0,240,0,0,144,0
60 TEATIME FAIRY CAKE CASES,1338,0,0,0,48,48,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0
TOMATO CHARLIE+LOLA COASTER SET,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHARLIE & LOLA WASTEPAPER BIN FLORA,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED CHARLIE+LOLA PERSONAL DOORSIGN,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUMBO STORAGE BAG SUKI,688,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
JUMBO BAG PINK VINTAGE PAISLEY,769,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
JAM MAKING SET PRINTED,1384,60,0,0,144,48,48,0,0,12,0,0,0,0,60,0,0,0,0,0,0,0,0,0
RETROSPOT TEA SET CERAMIC 11 PC ,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIRLY PINK TOOL SET,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUMBO SHOPPER VINTAGE RED PAISLEY,734,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
AIRLINE LOUNGE-METAL SIGN,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE SPOT RED CERAMIC DRAWER KNOB,325,0,0,0,12,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED DRAWER KNOB ACRYLIC EDWARDIAN,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
