Product,United Kingdom,France,Australia,Netherlands,Germany,Norway,EIRE,Switzerland,Spain,Poland,Portugal,Italy,Belgium,Lithuania,Japan,Iceland,Channel Islands,Denmark,Cyprus,Sweden,Austria,Israel,Finland,Bahrain
DIAMANTE H-,5196,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0
ACRYLIC JE-,4215,0,0,0,0,0,48,0,1,0,6,0,0,0,0,0,0,0,64,0,0,0,0,0
FRENCH LAT-,3606,12,0,48,108,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRENCH FLO-,3320,72,0,240,72,48,72,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0
Dr. Jam's -,3180,36,0,0,24,144,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVORY STRI-,2860,0,10,0,40,0,10,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0
BLUE FELT -,2641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YELLOW/PIN-,2599,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
SUNSET COL-,2571,120,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
COLUMBIAN -,2494,108,576,0,0,0,36,0,0,0,0,0,576,0,0,36,0,0,0,0,0,0,0,0
