InvoiceDate,QtyPerDay
1/12/2010,0
2/12/2010,3264
3/12/2010,49
4/12/2010,0
5/12/2010,96
6/12/2010,8
7/12/2010,50
8/12/2010,240
9/12/2010,52
10/12/2010,67
11/12/2010,0
12/12/2010,96
13/12/2010,242
14/12/2010,144
15/12/2010,0
16/12/2010,51
17/12/2010,637
18/12/2010,0
19/12/2010,99
20/12/2010,52
21/12/2010,48
22/12/2010,0
23/12/2010,0
24/12/2010,0
25/12/2010,0
26/12/2010,0
27/12/2010,0
28/12/2010,0
29/12/2010,0
30/12/2010,0
31/12/2010,0
1/1/2011,0
2/1/2011,0
3/1/2011,0
4/1/2011,1
5/1/2011,624
